"External ID","Date","Purchase No.","Purchase Lines/Product/BarCode","Purchase Lines/Product/Base Price","Purchase Lines/Qty"
"__export__.purchase_order_293931","2018-05-21","2525/PO-PM1/05/18","8999999195649","4129.0","1200.0"
"","","","8999999012625","8797.3","360.0"
"__export__.purchase_order_293877","2018-05-21","2522/PO-PM1/05/18","8999999049423","12127.23","48.0"
"","","","8999999049416","12127.23","48.0"
"","","","8999999047092","13375.5","48.0"
"","","","8999999047108","13335.5","48.0"
"","","","8999999049447","13376.13","72.0"
"","","","8999999049478","13335.5","24.0"
"","","","8999999049485","12127.25","48.0"
"","","","8999999049508","12127.23","48.0"
"","","","8999999519865","13464.91","48.0"
"","","","8999999519872","13464.91","48.0"
"","","","8999999521028","13464.91","48.0"
"__export__.purchase_order_293873","2018-05-21","2521/PO-PM1/05/18","9300830020201","26707.0","36.0"
"","","","8999999049386","6175.47","72.0"
"","","","8999999049348","6667.72","72.0"
"","","","8999999049355","6175.47","72.0"
"","","","8999999049362","6175.47","120.0"
"","","","8999999049379","6175.47","120.0"
"","","","8999999049393","12127.23","48.0"
"","","","8999999049430","12127.23","48.0"
"","","","8999999049409","12127.25","72.0"
"","","","8999999049669","12127.25","72.0"
"__export__.purchase_order_293869","2018-05-21","2519/PO-PM1/05/18","8999999706173","5027.03","360.0"
"","","","8999999037765","9066.6","360.0"
"","","","8999999706180","7831.25","240.0"
"","","","8999999005801","13375.5","108.0"
"","","","8999999008062","17810.5","48.0"
"","","","8999999008055","13106.19","72.0"
"","","","8999999008079","17363.01","48.0"
"","","","8999999039233","7115.27","48.0"
"","","","8999999039226","7115.27","48.0"
"","","","8999999043254","8707.95","48.0"
"__export__.purchase_order_293866","2018-05-21","2518/PO-PM1/05/18","8999999030179","4161.75","144.0"
"","","","8999999030186","10203.0","96.0"
"","","","8999999037819","5325.25","144.0"
"","","","8999999710880","5638.5","288.0"
"","","","8999999710866","12926.66","240.0"
"","","","8999999710873","8502.5","216.0"
"","","","8999999715588","12977.49","96.0"
"","","","8999999028695","3132.5","288.0"
"","","","8999999028701","7765.34","144.0"
"","","","8999999707774","5745.45","288.0"
"__export__.purchase_order_293863","2018-05-21","2517/PO-PM1/05/18","8999999046989","6846.75","180.0"
"","","","8999999053291","12522.71","72.0"
"","","","8999999053307","6867.29","72.0"
"","","","8999999501594","3276.54","1.0"
"","","","8999999036942","11187.48","48.0"
"","","","8999999044091","15800.0","72.0"
"","","","8999999036676","2513.63","720.0"
"","","","8999999036621","14453.41","72.0"
"","","","8999999036652","14453.41","72.0"
"","","","8999999516307","3272.0","182.0"
"__export__.purchase_order_293861","2018-05-21","2516/PO-PM1/05/18","8999999001094","11366.5","48.0"
"","","","8999999027254","7025.75","108.0"
"","","","8999999027278","11366.5","72.0"
"","","","8999999027261","18973.97","48.0"
"","","","8999999001247","7025.75","108.0"
"","","","8999999001209","18973.97","48.0"
"","","","8999999001230","7025.75","108.0"
"","","","8999999518776","20018.64","120.0"
"","","","8999999059323","2244.32","432.0"
"","","","8999999524791","2244.48","720.0"
"__export__.purchase_order_293858","2018-05-21","2515/PO-PM1/05/18","8999999707835","5206.82","144.0"
"","","","8851932371131","17684.31","48.0"
"","","","9300830008704","30611.05","24.0"
"","","","8999999005580","14407.93","72.0"
"","","","8999999027865","14453.43","24.0"
"","","","8999999030636","11545.52","48.0"
"","","","8999999030575","22330.26","48.0"
"","","","8999999046828","22330.26","48.0"
"","","","8999999026387","10234.09","120.0"
"","","","8999999001216","7046.82","72.0"
"__export__.purchase_order_293857","2018-05-21","2514/PO-PM1/05/18","9300830006472","29309.42","12.0"
"","","","9300830022557","29221.76","24.0"
"","","","8851932305297","14588.0","48.0"
"","","","4800888141125","29221.76","36.0"
"","","","9300830038527","29221.76","36.0"
"","","","8999999004248","12792.62","48.0"
"","","","8999999023997","9397.5","48.0"
"","","","8999999024468","16602.23","48.0"
"","","","8999999052140","1700.5","432.0"
"","","","8999999707842","8502.5","240.0"
