code_store;po_no;barcode;qty;modal_karton;
MXH;1807.2495MXH;8999999041090;9;1;
MXH;1807.2495MXH;8999999048259;12;1;
MXH;1807.2495MXH;8999999048273;2;1;
MXH;1807.2495MXH;8999999048334;4;1;
MXH;1807.2495MXH;8999999041106;9;1;
MXH;1807.2495MXH;8999999041045;9;1;
MXH;1807.2495MXH;8999999519438;18;1;
MXH;1807.2495MXH;8999999040970;3;1;
MXH;1807.2495MXH;8999999041168;12;1;
MXH;1807.2495MXH;8999999041182;3;1;
MXH;1807.2495MXH;8999999037215;9;1;
MXH;1807.2495MXH;8999999526641;2;1;
MXH;1807.2495MXH;8999999526627;3;1;
MXH;1807.2495MXH;8999999526658;9;1;
MXH;1807.2495MXH;8999999045531;9;1;
MXH;1807.2495MXH;8999999045548;9;1;
MXH;1807.2495MXH;8999999500085;2;1;
MXH;1807.2495MXH;8999999040963;6;1;
MXH;1807.2495MXH;8999999500092;3;1;
MXH;1807.2495MXH;8999999043773;12;1;
MXH;1807.2495MXH;8999999029715;9;1;
MXH;1807.2495MXH;8999999033194;6;1;
MXH;1807.2495MXH;8999999039134;3;1;
MXH;1807.2495MXH;8999999039165;6;1;
MXH;1807.2495MXH;8999999037185;9;1;
MXH;1807.2495MXH;8999999039127;6;1;
MBJ;1807.2495MBJ;8999999515669;9;1;
MBJ;1807.2495MBJ;8999999041090;9;1;
MBJ;1807.2495MBJ;8999999048440;18;1;
MBJ;1807.2495MBJ;8999999047887;9;1;
MBJ;1807.2495MBJ;8999999519438;27;1;
MBJ;1807.2495MBJ;8999999501457;40;1;
MBJ;1807.2495MBJ;8999999041199;6;1;
MBJ;1807.2495MBJ;8999999037222;9;1;
MBJ;1807.2495MBJ;8999999041267;24;1;
MBJ;1807.2495MBJ;8999999041250;3;1;
MBJ;1807.2495MBJ;8999999526641;9;1;
MBJ;1807.2495MBJ;8999999526634;9;1;
MBJ;1807.2495MBJ;8999999526658;9;1;
MBJ;1807.2495MBJ;8999999045500;12;1;
MBJ;1807.2495MBJ;8999999045531;18;1;
MBJ;1807.2495MBJ;8999999045548;18;1;
MBJ;1807.2495MBJ;8999999500085;9;1;
MBJ;1807.2495MBJ;8999999040963;6;1;
MBJ;1807.2495MBJ;8999999500092;6;1;
MBJ;1807.2495MBJ;8999999043780;12;1;
MBJ;1807.2495MBJ;8999999043797;12;1;
MBJ;1807.2495MBJ;8999999043766;24;1;
MBJ;1807.2495MBJ;8999999043773;12;1;
MBJ;1807.2495MBJ;8999999039134;6;1;
MBA;1807.2495MBA;8999999515669;2;1;
MBA;1807.2495MBA;8999999041090;9;1;
MBA;1807.2495MBA;8999999048242;60;1;
MBA;1807.2495MBA;8999999048228;12;1;
MBA;1807.2495MBA;8999999048419;9;1;
MBA;1807.2495MBA;8999999048440;18;1;
MBA;1807.2495MBA;8999999048501;72;1;
MBA;1807.2495MBA;8999999048280;80;1;
MBA;1807.2495MBA;8999999048327;24;1;
MBA;1807.2495MBA;8999999041106;20;1;
MBA;1807.2495MBA;8999999048167;70;1;
MBA;1807.2495MBA;8999999048198;20;1;
MBA;1807.2495MBA;8999999519438;27;1;
MBA;1807.2495MBA;8999999501457;45;1;
MBA;1807.2495MBA;8999999041168;12;1;
MBA;1807.2495MBA;8999999037222;9;1;
MBA;1807.2495MBA;8999999041267;24;1;
MBA;1807.2495MBA;8999999041212;24;1;
MBA;1807.2495MBA;8999999526641;9;1;
MBA;1807.2495MBA;8999999526634;9;1;
MBA;1807.2495MBA;8999999526658;9;1;
MBA;1807.2495MBA;8999999027599;40;1;
MBA;1807.2495MBA;8999999027605;40;1;
MBA;1807.2495MBA;8999999045500;12;1;
MBA;1807.2495MBA;8999999045531;18;1;
MBA;1807.2495MBA;8999999045548;18;1;
MBA;1807.2495MBA;8999999500085;9;1;
MBA;1807.2495MBA;8999999040963;6;1;
MBA;1807.2495MBA;8999999500092;12;1;
MBA;1807.2495MBA;8999999043803;24;1;
MBA;1807.2495MBA;8999999043766;24;1;
MBA;1807.2495MBA;8999999043773;24;1;
MBA;1807.2495MBA;8999999027032;45;1;
MBA;1807.2495MBA;8999999027049;120;1;
MBA;1807.2495MBA;8999999039134;3;1;
MBA;1807.2495MBA;8999999037185;9;1;
