SuppCode,NoPO,TglPO,Kirimke,No,SKU,NamaBarang,Ukuran,Satuan,Barcode,SDisc1,SDisc2,SDisc3,PDisc1,PDisc2,PDisc3,PDisc4,Qty,H.Beli,H.BeliNet,JlhH.BeliNet,BSA,VATA
0010A,2009PO18013913,20180705,2009,1,0035247,"SARIWANGI TEH CLP MELATI KTK",25X1.9GR,LSN/12,8999999501990,0.00,0.00,0.00,0.30,1.25,0.00,0.00,4.00,67632.00,66586.24,266344.96,0.00,0.00
0010A,2009PO18013913,20180705,2009,2,0196978,"ROYCO BUMBU AYAM GORENG",22GR,LSN/12,8999999039844,0.00,0.00,0.00,0.30,1.25,0.00,0.00,1.00,13636.36,13425.51,13425.51,0.00,0.00
0010A,2009PO18013913,20180705,2009,3,0196973,"ROYCO BUMBU NASI GORENG",17GR,LSN/12,8999999039868,0.00,0.00,0.00,0.30,1.25,0.00,0.00,1.00,13636.36,13425.51,13425.51,0.00,0.00
0010A,2009PO18013913,20180705,2009,4,0203220,"ROYCO BUMBU NASI GORENG PEDAS",17GR,CRT/48,8999999039288,0.00,0.00,0.00,0.30,1.25,0.00,0.00,1.00,54545.44,53702.03,53702.03,0.00,0.00
0010A,2009PO18013913,20180705,2009,5,0030168,"ROYCO BMB SBGUNA AYAM",100GR,CRT/36,8999999192150,0.00,0.00,0.00,0.30,1.25,0.00,0.00,2.00,137455.00,135329.60,270659.2,0.00,0.00
0010A,2009PO18013913,20180705,2009,6,0030168,"ROYCO BMB SBGUNA AYAM",230GR,CRT/24,8999999516208,0.00,0.00,0.00,0.30,1.25,0.00,0.00,4.00,170160.00,167528.90,670115.6,0.00,0.00
0010A,2009PO18013913,20180705,2009,7,0030169,"ROYCO BMB SBGUNA SAPI",100GR,CRT/36,8999999192198,0.00,0.00,0.00,0.30,1.25,0.00,0.00,1.00,137455.00,135329.60,135329.6,0.00,0.00
0010A,2009PO18013913,20180705,2009,8,0084514,"ROYCO BMB PYDP KALDU AYAM PACK",6X9GR,CRT/40,8999999502416,0.00,0.00,0.00,0.30,1.25,5.00,0.00,1.00,96364.00,90130.27,90130.27,0.00,0.00
0010A,2009PO18013913,20180705,2009,9,0217863,"BANGO BUMBU AYAM GORENG BACEM",60GR,LSN/12,8999999042448,0.00,0.00,0.00,0.30,1.25,0.00,0.00,1.00,30545.45,30073.14,30073.14,0.00,0.00
0010A,2009PO18013913,20180705,2009,10,0143491,"ZWITSAL KIDS BATH BUBBLE ACTIV",280ML,LSN/12,8992694234002,0.00,0.00,0.00,0.30,1.25,0.00,0.00,1.00,192540.00,189562.85,189562.85,0.00,0.00
0010A,2009PO18013913,20180705,2009,11,0051761,"ZWITSAL BABY SOAP",80GR,LSN/12,8992694242502,0.00,0.00,0.00,0.30,1.25,0.00,0.00,2.00,34363.00,33831.66,67663.32,0.00,0.00
0010A,2009PO18013913,20180705,2009,12,0005031,"ZWITSAL BABY CR WITH EXT ZINC",50ML,CRT/24,8992694245305,0.00,0.00,0.00,0.30,1.25,0.00,0.00,2.00,307632.00,302875.24,605750.48,0.00,0.00
0010A,2009PO18013913,20180705,2009,13,0220064,"ZWITSAL BABY SPA",NS,CRT/4,8999999042936,0.00,0.00,0.00,0.30,1.25,0.00,0.00,5.00,338180.00,332950.89,1664754.45,0.00,0.00
0010A,2009PO18013913,20180705,2009,14,0225271,"ZWITSAL VALUE PACK",NS,CRT/12,8999999048723,0.00,0.00,0.00,0.30,1.25,0.00,0.00,1.00,215448.00,212116.64,212116.64,0.00,0.00
0010A,2009PO18013913,20180705,2009,15,0111189,"ZWITSAL BABY HAIR ALOE VERA R",100ML,CRT/24,8992694246166,0.00,0.00,0.00,0.30,1.25,0.00,0.00,1.00,423264.00,416719.28,416719.28,0.00,0.00
0010A,2009PO18013913,20180705,2009,16,0179532,"PEPSODENT PG JUNIOR ORG FRUITY",50GR,CRT/36,8999999707743,0.00,0.00,0.00,0.30,1.25,0.00,0.00,1.00,171818.00,169161.27,169161.27,0.00,0.00
0010A,2009PO18013913,20180705,2009,17,0200645,"TRESEMME SHP DEEP CLEANSE&PROT",340ML,LSN/12,8999999041014,0.00,0.00,0.00,0.30,1.25,0.00,0.00,1.00,427636.00,421023.68,421023.68,0.00,0.00
0010A,2009PO18013913,20180705,2009,18,0200647,"TRESEMME SHP HFALL CONTROL",170ML,CRT/18,8999999041120,0.00,0.00,0.00,0.30,1.25,0.00,0.00,1.00,346909.00,341544.92,341544.92,0.00,0.00
0010A,2009PO18013913,20180705,2009,19,0200647,"TRESEMME SHP HFALL CONTROL",670ML,CRT/6,8999999040970,0.00,0.00,0.00,0.30,1.25,0.00,0.00,2.00,349091.00,343693.18,687386.36,0.00,0.00
